Gene Symbol	SO:0001619|non-coding_transcript_variant	SO:0001575|splice_donor_variant	SO:0001822|inframe_deletion	SO:0001587|nonsense	SO:0001627|intron_variant	SO:0001819|synonymous_variant	SO:0001582|initiator_codon_variant	SO:0002073|no_sequence_alteration	SO:0002153|genic_upstream_transcript_variant	SO:0001589|frameshift_variant	SO:0001623|5_prime_UTR_variant	SO:0002152|genic_downstream_transcript_variant	SO:0001820|inframe_indel	SO:0001578|stop_lost	SO:0001821|inframe_insertion	SO:0001624|3_prime_UTR_variant	SO:0001574|splice_acceptor_variant	SO:0001583|missense_variant
SCOC	0	0	0	0	7	0	1	0	0	0	2	0	0	0	0	0	0	8
PGLYRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
TFRC	0	0	0	0	46	34	0	0	0	0	38	0	0	0	0	0	0	50
HTR4	13	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	13
PTPDC1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
HTR7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2
SCP2	0	1	0	2	49	30	2	0	0	5	47	0	0	0	0	16	1	64
CAPNS1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8
EPSTI1	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	9	0	19
BBX	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	17
PRKACB	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	4
SPATA31G1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
ZNF17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSTK1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
WDR83OS	0	1	0	0	8	2	0	0	0	0	0	0	0	0	0	0	1	4
PRKAB2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SECISBP2	0	0	0	2	5	2	0	0	0	2	20	0	0	0	0	0	0	18
ZNF12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
RC3H2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	6
ZNF16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3
BCR	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LARS2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
SCO1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TFR2	0	0	0	0	4	6	2	0	0	1	14	0	0	0	0	0	1	4
SCO2	0	0	3	7	4	71	4	0	0	11	4	0	1	1	1	241	0	146
LARS1	0	0	1	0	12	4	0	0	0	2	1	0	0	0	0	0	0	6
